Package	FileName	NumberOfChanges	FileType	LOC
junit.extensions	ActiveTestSuite	1	ConcreteClass	70
junit.tests.extensions	package-info	1	ConcreteClass	4
org.junit.experimental.theories.internal	Assignments	9	ConcreteClass	133
junit.tests	package-info	1	ConcreteClass	4
junit.samples.money	MoneyTest	1	ConcreteClass	143
org.junit.runner	Description	21	ConcreteClass	240
org.junit.runner.manipulation	Sortable	1	Interface	17
org.junit.tests.experimental.theories.extendingwithstubs	StringableObject	1	ConcreteClass	27
junit.framework	TestSuite	5	ConcreteClass	307
junit.framework	JUnit4TestAdapter	9	ConcreteClass	85
org.junit.tests.validation	InaccessibleBaseClassTest	4	ConcreteClass	13
org.junit.internal	InexactComparisonCriteria	6	ConcreteClass	19
org.junit.tests.experimental.max	JUnit38SortingTest	7	ConcreteClass	53
org.junit.experimental.results	PrintableResult	8	ConcreteClass	63
org.junit.experimental.theories.suppliers	TestedOnSupplier	2	ConcreteClass	23
junit.tests.extensions	ActiveTestTest	1	ConcreteClass	64
org.junit	ComparisonFailure	2	ConcreteClass	138
org.junit.rules	TestWatchman	3	ConcreteClass	97
org.junit.internal	AssumptionViolatedException	1	ConcreteClass	40
junit.tests.extensions	RepeatedTestTest	1	ConcreteClass	63
junit.samples.money	MoneyBag	1	ConcreteClass	124
org.junit.internal.builders	IgnoredClassRunner	1	ConcreteClass	26
org.junit	Test	1	Interface	68
org.junit.tests.experimental.rules	TimeoutRuleTest	4	ConcreteClass	39
org.junit.experimental.theories	ParameterSupplier	1	AbstractClass	8
org.junit.tests.experimental	AssumptionViolatedExceptionTest	8	ConcreteClass	52
org.junit.tests.manipulation	SortableTest	2	ConcreteClass	149
org.junit.runners	ParentRunner	42	AbstractClass	391
org.junit.internal.runners.model	MultipleFailureException	5	ConcreteClass	12
org.junit.tests.running.methods	AnnotationTest	8	ConcreteClass	520
org.junit.tests.manipulation	SingleMethodTest	6	ConcreteClass	168
org.junit.rules	RunRules	1	ConcreteClass	27
org.junit.runner	RunWith	2	Interface	34
org.junit.tests	AllTests	51	ConcreteClass	157
org.junit.tests.listening	TestListenerTest	4	ConcreteClass	63
org.junit.experimental.max	MaxHistory	24	ConcreteClass	166
junit.samples	ListTest	1	ConcreteClass	63
org.junit	Assert	21	ConcreteClass	783
org.junit.internal	RealSystem	1	ConcreteClass	15
org.junit.internal.runners	ErrorReportingRunner	15	ConcreteClass	60
org.junit.tests.junit3compatibility	ClassRequestTest	3	ConcreteClass	19
org.junit.tests.validation	ValidationTest	3	ConcreteClass	34
org.junit.tests.running.classes	RunWithTest	1	ConcreteClass	85
org.junit.samples.money	MoneyTest	1	ConcreteClass	158
junit.framework	JUnit4TestCaseFacade	1	ConcreteClass	33
org.junit.tests.listening	UserStopTest	1	ConcreteClass	28
org.junit.runners.model	Statement	2	AbstractClass	16
org.junit.experimental.theories	ParameterSignature	2	ConcreteClass	90
org.junit.internal.runners.statements	RunAfters	7	ConcreteClass	44
org.junit.internal.requests	FilterRequest	3	ConcreteClass	42
junit.tests.framework	Success	1	ConcreteClass	17
org.junit.runner	JUnitCore	18	ConcreteClass	186
junit.tests.framework	ComparisonCompactorTest	1	ConcreteClass	102
org.junit.runners.model	FrameworkField	10	ConcreteClass	50
org.junit.tests.listening	RunnerTest	1	ConcreteClass	69
org.junit	Before	2	Interface	38
org.junit.internal.runners	JUnit4ClassRunner	13	ConcreteClass	145
junit.tests.extensions	ExtensionTest	1	ConcreteClass	98
org.junit.rules	TestName	4	ConcreteClass	39
org.junit	Assume	12	ConcreteClass	94
org.junit.experimental.theories	DataPoint	1	Interface	9
org.junit.tests.experimental.theories.runner	UnsuccessfulWithDataPointFields	13	ConcreteClass	126
org.junit.runners	AllTests	2	ConcreteClass	24
org.junit.tests.experimental.rules	VerifierRuleTest	4	ConcreteClass	125
org.junit.experimental	ParallelComputer	16	ConcreteClass	78
org.junit.tests.experimental.rules	TempFolderRuleTest	2	ConcreteClass	71
org.junit.tests.experimental.theories.runner	WhenNoParametersMatch	13	ConcreteClass	50
org.junit	After	1	Interface	39
org.junit.runner	Runner	6	AbstractClass	40
org.junit.tests.running.methods	TestMethodTest	12	ConcreteClass	147
org.junit.runners	package-info	3	ConcreteClass	8
org.junit.rules	ErrorCollector	2	ConcreteClass	76
org.junit	BeforeClass	1	Interface	35
junit.tests.framework	FloatAssertTest	1	ConcreteClass	63
org.junit.rules	TestWatcher	5	AbstractClass	91
org.junit.tests.validation.anotherpackage	Super	1	ConcreteClass	7
org.junit.tests.running.core	JUnitCoreReturnsCorrectExitCodeTest	1	ConcreteClass	39
junit.tests.runner	TextFeedbackTest	1	ConcreteClass	109
org.junit.internal.matchers	TypeSafeMatcher	4	AbstractClass	60
junit.framework	AssertionFailedError	1	ConcreteClass	16
junit.framework	TestListener	1	Interface	23
org.junit.runner.notification	RunListener	10	ConcreteClass	91
org.junit.rules	TestRule	8	Interface	54
org.junit.tests.experimental.theories.extendingwithstubs	StubbedTheoriesTest	1	ConcreteClass	1
junit.tests.framework	SuiteTest	5	ConcreteClass	105
junit.extensions	package-info	1	ConcreteClass	4
org.junit.tests.running.classes	EnclosedTest	2	ConcreteClass	40
org.junit.internal.runners	MethodValidator	2	ConcreteClass	91
org.junit.internal.runners.model	ReflectiveCallable	1	AbstractClass	22
junit.tests.runner	TextRunnerTest	1	ConcreteClass	61
org.junit.experimental.max	CouldNotReadCoreException	3	ConcreteClass	15
org.junit.tests.running.methods	ExpectedTest	1	ConcreteClass	58
org.junit.tests.experimental.theories.runner	TheoriesPerformanceTest	3	ConcreteClass	37
org.junit.internal.runners	FailedBefore	2	ConcreteClass	14
org.junit.internal.runners.statements	InvokeMethod	3	ConcreteClass	22
org.junit.tests.experimental.rules	TestRuleTest	7	ConcreteClass	301
org.junit.internal	ArrayComparisonFailure	2	ConcreteClass	59
junit.tests.runner	BaseTestRunnerTest	2	ConcreteClass	53
junit.tests.runner	AllTests	1	ConcreteClass	30
org.junit.tests.listening	ListenerTest	1	ConcreteClass	33
junit.tests.framework	Failure	1	ConcreteClass	14
junit.framework	Assert	5	ConcreteClass	296
org.junit.experimental.runners	Enclosed	2	ConcreteClass	31
org.junit.internal.runners	package-info	1	ConcreteClass	6
